reg_ins,nom_com,cpf,dat_nas,categoria,cep,num,comp,sit
31540064,Ana Ribeiro,28826892253,1989-07-19,,1101010,615,,ativo
89065923,Marcos Vieira,57083367574,1999-06-23,,3694000,2983,,ativo
85726346,Luisa Fontes,51832258262,1995-12-23,,6310390,650,,ativo
68668017,Paulo Mendonça,6498618841,1990-01-28,,8773600,908,,ativo
36402101,Carla Bastos,96007068323,2004-01-17,,18013280,2015,,ativo
39394121,Diego Monteiro,51480260908,2002-12-20,,11015502,350,,ativo
66395244,Sofia Lacerda,21050386701,1990-03-06,,11700100,144,,ativo
68487212,Renato Farias,98051882725,1995-01-16,,17580000,605,,ativo
64757582,Júlia Pacheco,20011714557,1992-02-26,,9581420,225,,ativo
81998053,Bruno Sampaio,55351824949,1990-07-18,,7190065,88,,ativo
73616353,Helena Duarte,68354147665,2003-09-06,,1101010,615,,ativo
71367889,Ricardo Nunes,84078642004,2002-11-30,,3694000,2983,,ativo
19602479,Daniela Sales,25327219526,1994-05-23,,6310390,650,,ativo
67557599,Felipe Moraes,3289961060,1999-12-01,,8773600,908,,ativo
45702142,Marina Teixeira,38948554360,1990-11-21,,18013280,2015,,ativo
51527126,André Campos,88366478718,2002-07-26,,11015502,350,,ativo
40133097,Tereza Souto,12381792406,2003-08-12,,11700100,144,,ativo
77260635,Mauro Cardoso,61179743539,1991-08-19,,17580000,605,,ativo
84301397,Priscila Matos,44843289680,1990-04-14,,9581420,225,,ativo
35405938,Lucas Serpa,20363389687,2002-08-27,,7190065,88,,ativo
80595776,Aline Barros,81145117880,2005-03-21,,1101010,615,,ativo
77000704,Gustavo Teles,73821888334,2004-07-15,,3694000,2983,,ativo
58350379,Lívia Reis,89518898235,2001-10-03,,6310390,650,,ativo
98848804,Rafael Cunha,21064755194,2005-04-06,,8773600,908,,ativo
43221209,Patrícia Loureiro,36398868870,1999-11-11,,18013280,2015,,ativo
96214645,Jonathan Peixoto,53972996500,1991-01-25,,11015502,350,,ativo
90518523,Mônica Silveira,70172647380,2002-06-30,,11700100,144,,ativo
66765839,Sérgio Andrade,7206963994,2003-11-28,,17580000,605,,ativo
82368022,Beatriz Paes,7502586830,1996-09-13,,9581420,225,,ativo
61617256,Tiago Godinho,92047933099,1994-09-27,,7190065,88,,ativo
24254057,Larissa Furtado,99664441570,2003-11-14,,1101010,615,,ativo
92837518,Rodrigo Cabral,39314866645,1994-02-10,,3694000,2983,,ativo
85507746,Camila Antunes,6408822428,1993-07-08,,6310390,650,,ativo
39263087,Edson Torres,2626772968,1992-08-12,,8773600,908,,ativo
44060373,Melissa Aragão,97533793587,1990-10-14,,18013280,2015,,ativo
89196274,Igor Pontes,95255721530,1992-08-27,,11015502,350,,ativo
49392798,Vanessa Prado,9868563801,2001-05-03,,11700100,144,,ativo
47029064,Marcelo Barata,61886938377,1989-12-19,,17580000,605,,ativo
50507186,Renata Guidi,93541535776,2005-06-17,,9581420,225,,ativo
96059415,Caio Azevedo,34505210804,1997-11-17,,7190065,88,,ativo
38289428,Bianca Salles,57871086715,1995-07-30,,1101010,615,,ativo
35286524,Jefferson Diniz,96142688679,2001-03-18,,3694000,2983,,ativo
54749378,Nayara Couto,43015363530,1997-01-04,,6310390,650,,ativo
57652144,Maurício Bechara,55917578559,1991-06-26,,8773600,908,,ativo
97073238,Paula Muniz,17511642845,2002-10-17,,18013280,2015,,ativo
26090489,Vinícius Baroni,32137925788,1991-12-04,,11015502,350,,ativo
61396899,Sabrina Moura,77712189897,1994-08-18,,11700100,144,,ativo
90071378,Leonardo Brito,67441209722,2000-11-26,,17580000,605,,ativo
13237098,Evelyn Castilho,8155716155,1990-10-30,,9581420,225,,ativo
45801792,Mateus Portela,28107423917,2001-05-07,,7190065,88,,ativo
36196367,Carolina Mello,46401399422,2003-09-26,,1101010,615,,ativo
50622273,Eduardo Freitas,54505249271,1989-02-28,,3694000,2983,,ativo
55413024,Juliane Amaral,45256009508,2004-05-18,,6310390,650,,ativo
34479821,Rodrigo Benevides,12516810857,2001-02-28,,8773600,908,,ativo
48788933,Fabiana Coutinho,15079066172,2001-03-06,,18013280,2015,,ativo
30606286,Leandro Alves,13960893493,1991-02-04,,11015502,350,,ativo
72930072,Mirella Sarmento,59020368958,1991-10-01,,11700100,144,,ativo
12623431,Alberto Mendonça,27911495203,1994-01-16,,17580000,605,,ativo
57170821,Tainá Moreira,30441157602,2003-05-08,,9581420,225,,ativo
45665643,Wellington Prado,71618403680,2001-09-09,,7190065,88,,ativo
